f,Re,Im,Z,phi,Fit,f,Re,Im,Z,phi
5.86E+01,1.31E+02,-1.06E+02,168.209929731565,-38.9477549420221,,5.86E+01,1.23E+02,-1.06E+02,162.07398577554,-40.7256449231559
4.86E+01,1.47E+02,-1.14E+02,185.832918078202,-37.9519431501673,,4.86E+01,1.38E+02,-1.18E+02,181.351048046737,-40.5642642662607
4.04E+01,1.64E+02,-1.22E+02,204.027785144687,-36.5650731005745,,4.04E+01,1.56E+02,-1.29E+02,202.918844167933,-39.6006786890928
3.35E+01,1.84E+02,-1.28E+02,224.462277137755,-34.8386276677382,,3.35E+01,1.79E+02,-1.39E+02,226.040134635644,-37.8405615000237
2.78E+01,2.06E+02,-1.30E+02,243.583000792139,-32.27436233149,,2.78E+01,2.04E+02,-1.45E+02,249.627409749911,-35.3805865892106
2.31E+01,2.28E+02,-1.32E+02,263.602512352251,-29.9832862736019,,2.31E+01,2.30E+02,-1.46E+02,272.451557140733,-32.3874888631387
1.92E+01,2.49E+02,-1.29E+02,280.415644058205,-27.2984202324481,,1.92E+01,2.56E+02,-1.43E+02,293.353925013796,-29.0702565164582
1.59E+01,2.69E+02,-1.24E+02,296.257592563862,-24.844394315996,,1.59E+01,2.81E+02,-1.35E+02,311.49660885122,-25.641994565981
1.32E+01,2.87E+02,-1.17E+02,310.232916183676,-22.1160235365472,,1.32E+01,3.02E+02,-1.24E+02,326.488471056437,-22.2865597377895
1.10E+01,3.04E+02,-1.07E+02,322.599136554695,-19.3089703849732,,1.10E+01,3.20E+02,-1.11E+02,338.357022503051,-19.139772264763
9.11E+00,3.18E+02,-9.71E+01,332.215355822116,-16.9965907855715,,9.11E+00,3.33E+02,-9.74E+01,347.42784326636,-16.2838960504551
7.56E+00,3.28E+02,-8.41E+01,338.487735335722,-14.3917947274113,,7.56E+00,3.44E+02,-8.42E+01,354.169824452415,-13.7556258856657
6.28E+00,3.39E+02,-7.69E+01,347.352188764125,-12.794013472324,,6.28E+00,3.52E+02,-7.19E+01,359.076047345224,-11.5578036708128
5.21E+00,3.47E+02,-6.72E+01,353.301606120552,-10.9709061123764,,5.21E+00,3.57E+02,-6.09E+01,362.590430805909,-9.67234517752324
4.33E+00,3.51E+02,-5.71E+01,355.974723040277,-9.23169555340431,,4.33E+00,3.61E+02,-5.12E+01,365.079303140759,-8.06981843043524
3.59E+00,3.53E+02,-5.16E+01,357.056768427608,-8.31292046106781,,3.59E+00,3.64E+02,-4.29E+01,366.827816961089,-6.71607987494227
2.98E+00,3.58E+02,-4.75E+01,360.795691555006,-7.5596253066019,,2.98E+00,3.66E+02,-3.58E+01,368.048657768239,-5.57747969452652
2.48E+00,3.64E+02,-4.36E+01,366.137735627985,-6.83154570601277,,2.48E+00,3.68E+02,-2.97E+01,368.897798721797,-4.6219018733772
